App_2753900	2753900	35	2665.0	88.99	10458	88.99	10458	91.23	1209	2	strong_fit|very_high_rating|recent_fit	Dark Fantasy|Fantasy	21 Jul, 2025	The King is Watching
App_460920	460920	95	367.0	82.93	33096	82.93	33096	89.14	3187	1	mainstream_quality|strong_fit|exceptional_discount	Open World|Action|Exploration	2 Dec, 2016	Steep™
App_330020	330020	90	385.0	88.41	23222	88.41	23222	86.82	2542	1	mainstream_quality|strong_fit|exceptional_discount	Hack and Slash	3 Sep, 2019	Children of Morta
App_600090	600090	90	410.0	84.16	3088	84.16	3088	89.64	869	1	strong_fit|exceptional_discount|very_high_rating	Adventure|Horror|Action	22 Sep, 2017	The Coma: Recut
App_373420	373420	90	470.0	89.21	33036	89.21	33036	88.25	5402	1	mainstream_quality|strong_fit|exceptional_discount	RPG|Fantasy|Adventure	27 Oct, 2015	Divinity: Original Sin - Enhanced Edition
App_408410	408410	90	520.0	91.32	4219	91.32	4219	91.3	322	1	strong_fit|exceptional_discount|very_high_rating	Action|Sci-fi	30 Aug, 2017	X-Morph: Defense
App_331600	331600	90	558.0	77.87	10927	77.87	10927	85.42	638	1	mainstream_quality|strong_fit|exceptional_discount	Action|Hack and Slash|Adventure	27 Aug, 2015	One Piece Pirate Warriors 3
App_1154810	1154810	90	585.0	90.13	4166	90.13	4166	72.0	25	1	strong_fit|exceptional_discount|very_high_rating	Hack and Slash	24 Sep, 2020	Going Under
App_815370	815370	90	599.0	84.61	102237	84.61	102237	85.0	5733	1	mainstream_quality|strong_fit|exceptional_discount	Open World|Action	5 Sep, 2019	Green Hell
App_2290180	2290180	90	1699.0	81.81	31966	81.81	31966	79.28	1163	1	mainstream_quality|strong_fit|exceptional_discount	Open World	8 Jun, 2023	Riders Republic
App_397540	397540	90	1900.0	81.03	163919	81.03	163919	79.49	8422	1	mainstream_quality|strong_fit|exceptional_discount	RPG|Open World	13 Mar, 2020	Borderlands 3
App_1222680	1222680	90	2750.0	84.23	153762	84.23	153762	77.0	9410	1	mainstream_quality|strong_fit|exceptional_discount	Open World|Singleplayer|Action	4 Jun, 2020	Need for Speed™ Heat
